Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
"Moher, Douglas",PORT,34,CF,ML,1601,0.32700000000000001,0.40799999999999997,0.40500000000000003,6226,2034,320,52,21,1083,615,853,464,370,227,211,18
"Moir, Stuart",CASP,25,3B,ML,1,0.25,0.25,0.25,4,1,0,0,0,0,2,0,0,0,0,1,0
"Moizoos, Ibrahim",RICH,24,LF,ML,32,0.30499999999999999,0.371,0.438,105,32,8,0,2,15,16,11,20,1,1,4,1
"Monterroso, Lawrence",ROME,29,2B,ML,396,0.28899999999999998,0.36299999999999999,0.42699999999999999,1197,346,51,6,34,148,164,139,367,2,3,35,3
"Montgomery, Mayday",LAKE,32,CF,ML,1573,0.33500000000000002,0.41,0.60199999999999998,6295,2111,286,12,457,1312,1309,793,1003,7,11,241,10
"Morena, Otto",TEX,31,3B,ML,990,0.29899999999999999,0.35299999999999998,0.49199999999999999,3717,1112,269,14,140,569,616,312,282,4,7,115,4
"Morris, Lucien",ERIE,29,SS,ML,365,0.26700000000000002,0.317,0.42799999999999999,1143,305,60,5,38,147,145,84,212,0,1,32,1
"Morris, Simon",NORW,29,1B,ML,371,0.25900000000000001,0.32900000000000001,0.34599999999999997,814,211,43,2,8,121,92,85,108,29,20,33,1
"Moxie, Maxx",SUGR,27,3B,ML,183,0.27100000000000002,0.33500000000000002,0.496,669,181,32,4,37,102,116,65,129,1,0,16,0
"Murakami, Munetaka",RICH,26,3B,ML,303,0.316,0.34200000000000003,0.49399999999999999,1160,366,85,4,38,177,162,47,134,14,8,59,4
"Murray, Maximilian",ELP,26,C,ML,330,0.27700000000000002,0.33200000000000002,0.45,1204,333,44,6,51,189,181,100,312,32,26,31,2
"Murrish, Lowell",FRIS,32,SS,ML,1142,0.28399999999999997,0.35899999999999999,0.45500000000000002,4206,1194,190,15,167,699,678,494,535,121,77,158,8
"Naomi, Kyrie",MIDL,32,RF,ML,1093,0.29599999999999999,0.35599999999999998,0.48199999999999998,4180,1236,348,12,135,671,587,389,533,61,67,93,8
"Newman, L.O.",PORT,27,C,ML,256,0.27400000000000002,0.30599999999999999,0.35499999999999998,434,119,12,4,5,57,56,20,41,0,0,23,0
