Period,Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
LastYear,"McCloud, Fox",CHES,30,SS,ML,157,0.32400000000000001,0.36199999999999999,0.44,666,216,54,1,7,115,71,39,66,18,6,13,0
LastYear,"McColl, Jerry",ALTO,31,C,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LastYear,"McCray, Bill",ROME,32,1B,ML,155,0.26700000000000002,0.32900000000000001,0.39,531,142,24,4,11,75,64,49,115,0,2,16,0
LastYear,"McDichael, Sleve",RICH,34,SS,ML,157,0.26700000000000002,0.33100000000000002,0.39700000000000002,580,155,18,3,17,99,85,55,119,0,0,19,0
LastYear,"McDonald, Ron",NORW,24,LF,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LastYear,"McGaughy, Randall",TEX,36,SS,ML,154,0.316,0.33400000000000002,0.33900000000000002,703,222,10,3,0,79,48,19,65,20,9,10,0
LastYear,"McIntyre, George",FRIS,29,3B,ML,154,0.311,0.34300000000000003,0.48699999999999999,575,179,27,4,22,80,88,28,69,17,8,20,3
LastYear,"McMurray, Jim",LOUI,25,LF,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LastYear,"McNett, Wesley",MAHO,28,2B,ML,155,0.251,0.32900000000000001,0.47799999999999998,581,146,26,2,34,89,89,67,88,1,0,29,0
LastYear,"McNiell, Joe",SF,27,LF,ML,122,0.246,0.315,0.377,130,32,6,4,1,26,12,13,24,6,3,5,0
LastYear,"McPheron, Anthony",ROME,28,C,ML,43,0.35499999999999998,0.39400000000000002,0.40300000000000002,62,22,3,0,0,4,9,4,4,0,1,2,1
LastYear,"McWhorter, John",ERIE,26,3B,ML,155,0.28599999999999998,0.35499999999999998,0.59799999999999998,580,166,46,0,45,119,133,62,155,0,1,14,1
LastYear,"Melching, Jose",PEOR,30,SS,ML,158,0.27600000000000002,0.378,0.41199999999999998,565,156,21,1,18,106,83,93,73,43,17,31,1
LastYear,"Mensick, Nemo",PEOR,31,2B,ML,154,0.30499999999999999,0.38,0.51400000000000001,613,187,53,3,23,117,65,74,91,0,2,18,2
LastYear,"Micelli, Anthony",CHES,27,2B,ML,154,0.28599999999999998,0.34699999999999998,0.46600000000000003,594,170,16,5,27,92,90,55,99,0,1,13,1
LastYear,"Michlin, Scott",LV,36,3B,ML,157,0.34699999999999998,0.373,0.46600000000000003,663,230,43,3,10,107,78,28,27,1,0,35,0
LastYear,"Mills, Sterling",AUCK,28,RF,ML,128,0.25900000000000001,0.29199999999999998,0.35399999999999998,294,76,14,4,2,41,43,14,39,16,10,12,0
LastYear,"Moher, Douglas",PORT,34,CF,ML,156,0.315,0.38900000000000001,0.38,632,199,31,2,2,101,62,77,40,17,9,22,0
LastYear,"Moir, Stuart",CASP,25,3B,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
