Period,Name,Team,Age,Pos,Level,ERA,W,L,SV,BS,G,GS,CG,SHO,IP,K,BB,H,2B,3B,HR,SB,CS,BK,WP,PO,R,ER,AVG,OBP,SLG
Career,"Terrell, Clifford",CHES,26,P,ML,5,2,2,6,1,50,0,0,0,72,27,18,89,9,0,7,1,2,0,10,0,44,40,0.29199999999999998,0.33100000000000002,0.39
Career,"Thompson, John",NORW,28,P,ML,5.74,19,16,14,6,166,27,0,0,366.67,136,112,483,70,10,47,15,13,3,38,0,255,234,0.30499999999999999,0.35099999999999998,0.45100000000000001
Career,"Thompson, Morgan",EDMO,25,P,ML,4.88,12,12,0,0,37,37,0,0,201,115,89,208,46,2,23,4,4,1,10,0,122,109,0.25600000000000001,0.33,0.40300000000000002
Career,"Thornton, Frederick",ROCK,29,P,ML,7.18,1,1,2,0,34,0,0,0,36.33,12,8,55,13,1,5,0,1,0,4,0,32,29,0.33500000000000002,0.36599999999999999,0.51800000000000002
Career,"Tippett, Mike",IDA,26,P,ML,5.09,5,2,3,1,57,0,0,0,88.33,28,31,119,21,2,12,3,1,0,6,0,50,50,0.31,0.36099999999999999,0.46899999999999997
Career,"Tirone, Kenneth (25)",PEOR,28,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
Career,"Tofu, Killer",PORT,26,P,ML,4.32,6,5,6,1,49,10,0,0,114.67,88,38,123,22,0,12,6,7,0,4,0,56,55,0.26300000000000001,0.31900000000000001,0.38800000000000001
Career,"Tran, Bobby",LV,32,P,ML,4.8600000000000003,68,94,25,12,334,222,8,2,1406.33,952,284,1595,378,27,211,43,31,3,62,0,827,759,0.27400000000000002,0.308,0.45800000000000002
Career,"Turner, Cameron",LOUI,28,P,ML,4.8899999999999997,53,32,0,0,132,132,4,1,771,269,234,949,123,13,67,62,44,1,36,0,449,419,0.29099999999999998,0.33800000000000002,0.39800000000000002
Career,"Turner, Ferric",TEX,32,P,ML,5.03,46,56,4,7,222,115,1,1,815.67,620,467,790,157,15,114,28,20,5,74,0,481,456,0.24399999999999999,0.33900000000000002,0.40699999999999997
Career,"Tyus, Gerald",TEX,31,P,ML,4.84,34,25,10,9,233,42,3,1,564,220,218,649,98,9,58,31,15,2,32,0,319,303,0.27700000000000002,0.33900000000000002,0.40100000000000002
Career,"Veil, Ryan (10)",LV,30,P,ML,4.43,23,21,12,9,192,29,0,0,473,149,135,553,98,9,43,22,14,4,40,0,261,233,0.28000000000000003,0.32700000000000001,0.40500000000000003
Career,"Veres, Stew",ALTO,29,P,ML,4.4000000000000004,67,51,0,0,163,163,14,7,993.67,530,211,1189,151,14,112,69,46,5,38,0,533,486,0.28499999999999998,0.32,0.40899999999999997
Career,"Voorheis, Steve",PEOR,29,P,ML,5.62,18,23,2,4,108,56,1,1,359,134,160,417,90,6,39,10,4,3,22,0,240,224,0.27900000000000003,0.34899999999999998,0.42599999999999999
Career,"Vrieze, Anton",ROCK,32,P,ML,4.75,11,13,9,9,243,0,0,0,339.33,258,154,356,68,5,54,7,9,2,38,0,187,179,0.25900000000000001,0.33400000000000002,0.434
Career,"Wallace, Wallace",NORW,24,P,ML,5.76,7,11,0,0,35,35,0,0,170.33,80,54,215,44,2,17,3,1,2,2,0,115,109,0.29599999999999999,0.34499999999999997,0.433
Career,"Wallington, Williams (13)",LAKE,32,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
Career,"Ward, Tom",PEOR,24,P,ML,5.23,1,2,0,0,5,4,0,0,20.67,10,8,21,3,0,6,0,0,0,0,0,12,12,0.253,0.31900000000000001,0.50600000000000001
Career,"Watkins, Jason",SUGR,31,P,ML,6.2,2,7,3,2,68,7,0,0,97.33,45,51,112,29,2,18,0,1,2,14,0,71,67,0.27700000000000002,0.35799999999999998,0.49299999999999999
Career,"Welles, Jackie",BANG,30,P,ML,4.8499999999999996,40,35,21,17,228,52,2,0,617.66999999999996,447,183,686,158,9,85,25,13,4,34,0,361,333,0.27,0.31900000000000001,0.44
Career,"Welschmeyer, Larry",ERIE,36,P,ML,4.54,92,84,13,21,431,193,7,3,1573.33,830,417,1730,353,31,237,17,13,6,60,0,861,794,0.26800000000000002,0.313,0.443
Career,"Whitehead, Elden",CASP,30,P,ML,4.75,16,13,5,5,237,0,0,0,373.33,332,141,386,73,8,49,14,5,0,18,0,205,197,0.25600000000000001,0.32,0.41299999999999998
Career,"William, Chris",BANG,30,P,ML,4.3,57,49,3,7,195,138,11,7,928,492,321,986,149,14,97,24,19,5,48,0,481,443,0.26200000000000001,0.31900000000000001,0.38600000000000001
Career,"Williams, Dan",ALTO,29,P,ML,4.87,18,22,9,14,220,0,0,0,369.67,181,119,416,75,8,56,5,5,2,26,0,207,200,0.27300000000000002,0.32500000000000001,0.443
Career,"Williams, Frederick",ELP,32,P,ML,4.17,42,19,20,15,375,0,0,0,668.33,370,181,743,105,10,71,38,25,3,50,0,336,310,0.27,0.315,0.39300000000000002
Career,"Williams, Greg",ERIE,29,P,ML,5.46,28,33,3,2,114,96,2,1,525.66999999999996,329,188,642,110,7,62,9,11,4,36,0,348,319,0.28899999999999998,0.34499999999999997,0.42899999999999999
Career,"Wilson, Goldie",WISC,30,P,ML,4.26,30,15,10,13,253,0,0,0,521.66999999999996,241,189,616,58,3,35,13,14,1,34,0,262,247,0.28199999999999997,0.34,0.36
Career,"Wilson, Troy",CHES,32,P,ML,3.28,57,33,40,24,462,0,0,0,972.67,410,176,1100,106,9,58,82,43,8,54,0,392,355,0.27400000000000002,0.30399999999999999,0.34799999999999998
Career,"Wollner, Donnie",NORW,27,P,ML,5.21,2,12,11,6,93,0,0,0,131.33000000000001,50,49,161,31,1,19,4,1,1,10,0,82,76,0.28999999999999998,0.34799999999999998,0.45200000000000001
Career,"Wolodarsky, Sucre",CHES,30,P,ML,4.5,52,52,2,1,174,151,14,9,974.67,277,245,1144,142,18,109,54,23,3,52,0,523,487,0.28100000000000003,0.32200000000000001,0.40500000000000003
Career,"Wong, Marcelino",BANG,30,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
Career,"Wood, Gilbert",SUGR,28,P,ML,6.23,8,13,0,0,37,34,0,0,180.67,103,68,234,40,2,19,6,2,0,20,0,128,125,0.30199999999999999,0.35799999999999998,0.432
Career,"Wow, Pizza",ELP,29,P,ML,4.3600000000000003,20,18,28,20,246,1,0,0,406.33,169,157,457,47,4,42,26,22,1,32,0,212,197,0.27300000000000002,0.33500000000000002,0.38100000000000001
Career,"Wyatt, Bray",OKC,31,P,ML,3.47,145,62,0,0,268,268,50,20,1848.67,848,454,1890,233,19,140,79,44,9,74,0,769,712,0.254,0.29699999999999999,0.34699999999999998
Career,"Ziebarth, Brady",OKC,30,P,ML,4.47,73,61,0,0,205,204,15,7,1201,720,323,1367,194,28,146,24,20,3,56,0,650,597,0.27500000000000002,0.31900000000000001,0.41299999999999998
Career,"Zurly-Light, Don",OKC,26,P,ML,3.37,9,12,1,1,45,19,0,0,144.33000000000001,78,38,156,23,1,11,2,2,1,4,0,70,54,0.26500000000000001,0.309,0.36299999999999999
Last3,"Acoba, Joe",MAHO,37,P,ML,4.22,23,21,0,0,70,70,1,1,385.67,243,138,409,64,7,47,23,11,3,18,0,199,181,0.26100000000000001,0.32100000000000001,0.40100000000000002
Last3,"Acree, George",AUCK,29,P,ML,5.16,11,4,3,7,95,2,0,0,122,117,44,145,43,3,26,1,1,0,6,0,72,70,0.28399999999999997,0.34100000000000003,0.53200000000000003
Last3,"Adam, John",RICH,26,P,ML,4.45,19,6,7,0,73,28,1,1,224.67,96,99,223,58,2,30,8,2,1,12,0,122,111,0.249,0.32300000000000001,0.41799999999999998
Last3,"Adcock, Garry",CHES,27,P,ML,10.8,0,3,1,0,12,3,0,0,16.670000000000002,7,8,28,2,0,3,0,0,0,0,0,22,20,0.35899999999999999,0.41899999999999998,0.5
Last3,"Adkins, Duane",PORT,30,P,ML,3.73,17,11,15,5,121,0,0,0,273,210,70,252,56,4,28,7,5,0,18,0,128,113,0.23499999999999999,0.28199999999999997,0.373
Last3,"Alexender, Terrell",ALTO,31,P,ML,5.2,8,9,9,4,73,18,0,0,174.67,177,38,197,38,2,31,3,8,0,10,0,110,101,0.27300000000000002,0.31,0.46
Last3,"Allocco, Booker",DAY,36,P,ML,5.35,18,17,0,0,63,57,2,1,319.67,130,108,400,45,5,29,19,16,2,12,0,206,190,0.29399999999999998,0.34599999999999997,0.39900000000000002
Last3,"Alsobrook, Ernie",LOUI,32,P,ML,5.82,14,21,1,1,62,53,1,0,301.67,102,88,385,61,10,34,1,1,1,28,0,204,195,0.29799999999999999,0.34300000000000003,0.44
Last3,"Anderson, Steve",OKC,39,P,ML,7.35,7,18,0,0,52,38,0,0,226.67,95,91,369,50,2,32,13,13,1,22,0,204,185,0.35199999999999998,0.40400000000000003,0.495
Last3,"Annen, Franklin",PORT,34,P,ML,4.1500000000000004,28,17,1,0,67,66,11,6,423,179,88,480,72,6,40,22,13,4,24,0,208,195,0.27400000000000002,0.309,0.39100000000000001
Last3,"Appleby, Rene",RICH,26,P,ML,6.75,0,0,0,0,8,0,0,0,6.67,6,2,8,3,0,0,1,0,0,0,0,5,5,0.28599999999999998,0.33300000000000002,0.39300000000000002
Last3,"Armstrong, Matthew",LOUI,32,P,ML,4.66,15,7,18,2,124,0,0,0,191,122,102,216,27,7,21,5,7,2,14,0,109,99,0.27400000000000002,0.35699999999999998,0.40600000000000003
Last3,"Arteaga, Mike",OMA,31,P,ML,5.4,20,21,4,1,87,51,1,0,368.67,275,152,419,72,3,42,17,9,1,24,0,235,221,0.27500000000000002,0.34,0.40899999999999997
Last3,"Ashby, Joe",ALTO,28,P,ML,5.3,14,11,4,4,123,0,0,0,209,89,92,224,45,2,34,11,4,2,14,0,141,123,0.26300000000000001,0.33500000000000002,0.441
Last3,"Atari, Martin",OKC,31,P,ML,4.6100000000000003,31,23,0,0,69,69,5,2,384.67,286,133,403,71,10,58,5,1,3,18,0,213,197,0.25900000000000001,0.317,0.42899999999999999
Last3,"Atwell, Emmanuel",PEOR,30,P,ML,5.0199999999999996,13,11,2,0,49,46,0,0,229.33,86,131,223,66,4,37,4,6,1,8,0,134,128,0.245,0.34,0.44800000000000001
Last3,"Banister, Dave",ERIE,29,P,ML,6.5,9,11,7,12,105,0,0,0,155,122,60,217,34,2,24,2,4,0,8,0,127,112,0.318,0.373,0.47899999999999998
Last3,"Bean Jr, Danny",SCRN,28,P,ML,3.85,11,7,9,4,120,0,0,0,236.33,96,57,249,44,5,24,1,3,3,12,0,114,101,0.26,0.30099999999999999,0.39100000000000001
Last3,"Beard, Silver",OKC,27,P,ML,4.9800000000000004,24,24,0,0,68,68,2,0,363.33,266,104,425,66,12,51,3,4,1,28,0,215,201,0.28100000000000003,0.32700000000000001,0.441
Last3,"Beckers, Joshua",NORW,21,P,ML,7.45,4,8,0,0,21,15,0,0,77.33,29,25,121,26,2,7,0,0,0,4,0,71,64,0.34300000000000003,0.38600000000000001,0.48699999999999999
Last3,"Beckham, Rich",AUCK,26,P,ML,4.21,5,4,37,8,89,0,0,0,87.67,35,23,123,16,1,5,6,3,0,2,0,42,41,0.31900000000000001,0.35699999999999998,0.40400000000000003
Last3,"Bell, Bill",SUGR,31,P,ML,4.26,8,9,21,6,112,0,0,0,164.67,72,40,198,27,1,17,6,4,0,8,0,86,78,0.28599999999999998,0.32500000000000001,0.40200000000000002
Last3,"Berger, Joe",LV,29,P,ML,5.6,5,8,8,6,119,0,0,0,186.33,104,70,222,46,8,28,11,5,0,12,0,131,116,0.28399999999999997,0.34300000000000003,0.47099999999999997
Last3,"Bianchi, Joe",LAKE,30,P,ML,4.34,25,21,0,0,69,69,0,0,390,396,143,425,77,6,47,13,10,1,26,0,213,188,0.26600000000000001,0.32700000000000001,0.41099999999999998
Last3,"Birkil, Hippy",OMA,35,P,ML,5.12,21,16,5,4,93,38,4,0,321.67,177,115,357,78,9,50,19,13,1,26,0,200,183,0.27,0.32800000000000001,0.45600000000000002
Last3,"Bisaillon, Ralph",LAKE,29,P,ML,3.96,32,22,0,0,71,71,11,4,468,299,168,488,78,7,40,5,13,1,18,0,214,206,0.25800000000000001,0.318,0.37
Last3,"Black, Coffee",ROME,38,P,ML,5.46,7,12,17,11,92,0,0,0,125.33,140,40,150,25,3,23,1,2,0,2,0,80,76,0.28499999999999998,0.33600000000000002,0.47499999999999998
Last3,"Bliss, Andrew",ROCK,24,P,ML,9.3800000000000008,0,4,0,0,7,7,0,0,24,16,16,42,7,0,8,0,1,0,0,0,29,25,0.36799999999999999,0.44600000000000001,0.64
Last3,"Boisse, Leo",SUGR,29,P,ML,6.34,12,16,4,3,98,18,0,0,244,156,144,271,64,7,32,8,6,0,10,0,182,172,0.27,0.36199999999999999,0.44400000000000001
Last3,"Bonet, Glenn",ROME,33,P,ML,5,5,4,0,1,57,4,0,0,95.33,32,45,114,17,1,13,1,5,2,2,0,53,53,0.28499999999999998,0.35699999999999998,0.43
Last3,"Bordwell, John",AUCK,31,P,ML,4.07,27,21,0,0,69,69,2,2,409,244,180,419,48,3,34,22,9,4,22,0,199,185,0.255,0.32800000000000001,0.34899999999999998
Last3,"Bormann, Harry",PEOR,25,P,ML,2.58,5,2,2,1,24,0,0,0,45.33,23,18,32,4,0,5,0,1,0,4,0,13,13,0.19,0.26900000000000002,0.30399999999999999
Last3,"Bosa, Bryan",MAHO,28,P,ML,4.1900000000000004,7,8,9,4,92,0,0,0,135.33000000000001,78,57,151,22,1,8,7,7,0,18,0,68,63,0.27100000000000002,0.33900000000000002,0.35699999999999998
Last3,"Breunig, Ed",ELP,25,P,ML,3.03,3,4,8,1,44,0,0,0,68.33,52,19,50,7,1,6,2,2,0,2,0,26,23,0.19600000000000001,0.252,0.30199999999999999
Last3,"Brim, Carl",OKC,38,P,ML,4.7699999999999996,2,2,11,3,81,2,0,0,94.33,45,37,104,24,0,10,0,1,2,8,0,55,50,0.26900000000000002,0.33300000000000002,0.40799999999999997
Last3,"Briscoe, Lenny",CASP,32,P,ML,5.25,10,15,15,12,129,0,0,0,234.67,114,95,266,48,4,35,8,3,1,8,0,142,137,0.27400000000000002,0.33900000000000002,0.44
Last3,"Brown, Julian",MAIN,30,P,ML,9,1,1,0,0,6,6,0,0,20,11,5,30,8,0,7,0,0,0,0,0,20,20,0.33300000000000002,0.36799999999999999,0.65600000000000003
Last3,"Burkley, Dustin",CHES,27,P,ML,4.5999999999999996,3,3,3,1,20,8,1,0,58.67,22,16,67,9,0,3,0,2,0,8,0,31,30,0.27600000000000002,0.32,0.35
Last3,"Burns, Eddie (1)",ERIE,30,P,ML,5.16,8,8,63,13,88,0,0,0,89,81,36,90,23,2,11,2,0,0,4,0,51,51,0.252,0.32100000000000001,0.42
Last3,"Bussell, Dave",FRIS,27,P,ML,4.8099999999999996,20,24,0,0,63,63,5,1,363.33,218,140,407,65,5,47,11,6,0,22,0,215,194,0.27200000000000002,0.33400000000000002,0.41599999999999998
Last3,"Buttermaker, Morris",CASP,26,P,ML,3.98,22,28,0,0,69,69,12,7,431.67,277,164,476,46,3,23,29,15,3,40,0,211,191,0.26900000000000002,0.33100000000000002,0.33700000000000002
Last3,"Buzbee, Lionel",CHES,25,P,ML,0,1,0,0,0,6,0,0,0,12,2,3,7,0,0,0,0,0,0,0,0,0,0,0.16300000000000001,0.217,0.16300000000000001
Last3,"Buzzelli, Devon",MAIN,26,P,ML,4.97,12,10,0,0,36,36,3,0,199,78,52,237,37,1,24,7,3,1,14,0,122,110,0.28399999999999997,0.32600000000000001,0.41699999999999998
Last3,"Caccavale, Armando",ALTO,26,P,ML,4.3499999999999996,18,10,5,6,125,0,0,0,250.33,148,127,244,29,5,28,14,3,2,12,0,133,121,0.245,0.33100000000000002,0.36899999999999999
Last3,"Cage, Christian",LOUI,35,P,ML,5.8,8,4,8,4,81,0,0,0,116.33,71,40,150,25,0,12,4,3,1,8,0,83,75,0.30099999999999999,0.35299999999999998,0.42299999999999999
Last3,"Cagle, Val",FRIS,35,P,ML,4.16,11,11,4,4,100,0,0,0,197,101,67,192,32,2,28,8,5,4,10,0,102,91,0.245,0.30499999999999999,0.39800000000000002
Last3,"Call, Jay",PEOR,32,P,ML,6.01,11,7,7,6,105,0,0,0,152.66999999999999,86,66,183,39,1,23,2,2,1,12,0,105,102,0.28499999999999998,0.35199999999999998,0.45700000000000002
Last3,"Callis, Dave",SF,36,P,ML,5.72,20,22,0,0,65,65,6,0,366.67,281,155,411,89,8,57,3,5,1,24,0,256,233,0.27200000000000002,0.34,0.45500000000000002
Last3,"Cambra, Luke",BANG,30,P,ML,5.34,12,10,12,5,123,2,0,0,237.67,137,119,262,41,4,24,17,6,3,12,0,152,141,0.26900000000000002,0.34799999999999998,0.39300000000000002
Last3,"Campbell, Colton",RICH,31,P,ML,4.57,10,6,19,8,128,0,0,0,230.33,155,50,246,45,4,27,3,9,2,20,0,126,117,0.26300000000000001,0.3,0.40600000000000003
Last3,"Carpenter, Darrell",SUGR,27,P,ML,6.23,1,1,2,0,6,1,0,0,13,5,3,22,5,1,0,1,1,0,0,0,9,9,0.36099999999999999,0.39100000000000001,0.47499999999999998
Last3,"Carroll, Mike",BANG,31,P,ML,4.8499999999999996,10,14,8,4,91,26,1,1,243.33,143,116,256,42,3,26,13,7,0,18,0,144,131,0.26,0.33800000000000002,0.38700000000000001
Last3,"Caruso, Bob",WISC,36,P,ML,4.16,8,9,18,4,110,0,0,0,194.67,68,57,216,25,1,21,9,5,1,12,0,99,90,0.27,0.31900000000000001,0.38300000000000001
Last3,"Chacon, Shannon",MIDL,29,P,ML,4.63,23,25,0,0,67,67,5,1,408,154,149,480,89,6,33,15,4,4,18,0,234,210,0.28199999999999997,0.33900000000000002,0.39900000000000002
Last3,"Channing, Todd",PORT,32,P,ML,4.3899999999999997,16,13,15,7,96,7,1,0,188.67,94,59,203,24,4,13,9,9,1,16,0,99,92,0.26400000000000001,0.316,0.35599999999999998
Last3,"Chavarria, Greg",ROME,36,P,ML,4.0999999999999996,6,1,14,3,96,0,0,0,134,67,51,145,21,4,16,2,1,1,8,0,72,61,0.26500000000000001,0.32800000000000001,0.40600000000000003
Last3,"Clanton, Paul",ALTO,31,P,ML,4.5,10,5,53,16,96,0,0,0,88,37,35,93,10,1,11,6,0,0,4,0,48,44,0.26100000000000001,0.32700000000000001,0.38700000000000001
Last3,"Clara, Terry (11)",RICH,30,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
Last3,"Clark, Davis",FRIS,25,P,ML,5.26,2,2,0,0,5,5,0,0,25.67,10,17,25,7,2,2,1,3,0,4,0,16,15,0.245,0.35299999999999998,0.41199999999999998
Last3,"Cleary, Rogelio",TEX,35,P,ML,5.34,4,2,4,2,47,0,0,0,64,31,25,79,7,4,12,2,0,0,2,0,38,38,0.29199999999999998,0.35099999999999998,0.48
Last3,"Cobb, Jacob",TEX,37,P,ML,5.04,14,9,16,11,117,0,0,0,164.33,66,80,182,27,4,19,5,2,1,12,0,101,92,0.27,0.34699999999999998,0.40600000000000003
Last3,"Collins, Chaz",LAKE,31,P,ML,4.7,10,10,13,6,104,12,0,0,176,104,60,197,42,6,31,5,4,0,16,0,98,92,0.27200000000000002,0.32700000000000001,0.47399999999999998
Last3,"Contra, Nester",MAIN,33,P,ML,4.21,28,16,2,0,76,49,0,0,363,229,93,380,84,9,50,11,13,0,22,0,182,170,0.25900000000000001,0.30299999999999999,0.43
Last3,"Coontz, Rich",BANG,31,P,ML,5.04,4,5,7,5,87,0,0,0,119.67,58,47,125,25,0,16,1,3,0,6,0,69,67,0.25800000000000001,0.32400000000000001,0.40899999999999997
Last3,"Cooper, Manny",PEOR,29,P,ML,5.0199999999999996,4,7,0,1,40,19,0,0,132.66999999999999,59,58,143,27,2,13,2,4,0,8,0,76,74,0.26400000000000001,0.33600000000000002,0.39400000000000002
Last3,"Corbett, Barry",SUGR,25,P,ML,5.68,5,3,15,6,61,0,0,0,88.67,64,39,111,24,1,13,6,3,0,8,0,60,56,0.29399999999999998,0.36099999999999999,0.46700000000000003
Last3,"Corbin, John",LAKE,29,P,ML,5.07,3,7,10,4,94,0,0,0,119,98,57,122,25,2,16,2,5,0,6,0,73,67,0.255,0.33400000000000002,0.41499999999999998
Last3,"Corns, Cedric",CHES,35,P,ML,4.33,9,7,70,11,111,0,0,0,120.67,78,36,150,28,2,16,4,1,1,4,0,64,58,0.29299999999999998,0.33900000000000002,0.44900000000000001
Last3,"Costanza, Seven",IDA,29,P,ML,5.27,14,22,2,1,76,55,4,2,334.67,251,141,337,84,4,43,6,2,4,10,0,204,196,0.251,0.32300000000000001,0.41599999999999998
Last3,"Coulbourne, Mervin",OMA,26,P,ML,6.52,0,0,1,0,8,0,0,0,9.67,8,3,10,4,0,2,0,0,0,0,0,7,7,0.25600000000000001,0.31,0.51300000000000001
Last3,"Cradle, Alfonso",MAHO,34,P,ML,5.01,24,9,5,1,69,45,5,3,296.67,119,100,335,67,7,38,7,3,1,20,0,169,165,0.27300000000000002,0.32800000000000001,0.433
Last3,"Craigen, Oscar",DAY,28,P,ML,4.25,8,8,51,15,101,0,0,0,118.67,61,50,117,28,3,17,1,2,0,6,0,60,56,0.247,0.31900000000000001,0.42699999999999999
Last3,"Crain, John",ROME,31,P,ML,4.68,4,8,0,1,68,0,0,0,134.66999999999999,99,40,153,24,0,19,6,2,0,8,0,72,70,0.27500000000000002,0.32300000000000001,0.42
Last3,"Crandall, RyLee",OMA,32,P,ML,4.74,19,24,0,0,77,69,3,3,417.67,220,140,477,71,4,45,21,11,3,16,0,236,220,0.27600000000000002,0.33,0.39900000000000002
Last3,"Crews, Sam",PORT,33,P,ML,4.6399999999999997,9,5,9,6,78,0,0,0,114.33,55,39,128,17,3,8,8,8,2,6,0,66,59,0.27200000000000002,0.32700000000000001,0.372
Last3,"Cruise, Terry",LAKE,30,P,ML,5.04,11,19,2,3,85,34,2,0,287.67,149,112,351,72,3,39,3,7,0,28,0,177,161,0.28899999999999998,0.34899999999999998,0.45
Last3,"Crumrine, Jim",MIDL,34,P,ML,5.28,12,12,4,1,66,19,0,0,194.33,118,73,216,46,2,27,12,9,0,16,0,125,114,0.27,0.33100000000000002,0.434
Last3,"Cuffie, Tim",DAY,33,P,ML,5.26,7,5,25,8,101,0,0,0,125,110,72,137,28,2,20,3,0,1,6,0,80,73,0.26800000000000002,0.35799999999999998,0.44700000000000001
Last3,"Cumbo, Mike",ROCK,27,P,ML,4.18,13,8,0,0,33,33,0,0,185.33,84,66,205,21,1,22,11,6,3,8,0,90,86,0.26900000000000002,0.32800000000000001,0.38600000000000001
Last3,"Curry, Bob",ROME,25,P,ML,5.56,3,3,3,0,41,0,0,0,56.67,31,13,73,12,2,11,3,1,1,2,0,39,35,0.3,0.33600000000000002,0.502
Last3,"Dain, Kendall",BANG,29,P,ML,5.52,3,8,2,8,62,0,0,0,91.33,40,38,122,11,0,14,1,5,0,10,0,61,56,0.308,0.36899999999999999,0.442
Last3,"Dalleva, Teodoro",PEOR,28,P,ML,4.45,1,2,0,0,5,5,0,0,30.33,26,8,27,7,1,4,0,0,0,0,0,15,15,0.22900000000000001,0.27800000000000002,0.40699999999999997
Last3,"Daniels, Edgar",LAKE,30,P,ML,5.83,18,27,3,0,73,65,2,2,350.33,205,137,401,79,6,54,4,2,0,12,0,237,227,0.27600000000000002,0.33900000000000002,0.45
Last3,"Dawdy, Bill",IDA,27,P,ML,5.19,2,0,0,0,5,5,0,0,26,7,7,35,3,0,3,5,1,0,0,0,15,15,0.31,0.35,0.41599999999999998
Last3,"Decant, Alfred",ALTO,33,P,ML,7.63,2,1,0,0,5,5,1,0,30.67,10,16,35,8,1,8,3,2,0,2,0,27,26,0.27600000000000002,0.35699999999999998,0.54300000000000004
Last3,"Degler, Raul",BANG,29,P,ML,4.55,23,27,0,0,72,72,6,3,417.33,239,96,500,68,8,52,11,5,2,24,0,225,211,0.28499999999999998,0.32300000000000001,0.42199999999999999
Last3,"Denson, Jose",AUCK,25,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
Last3,"Diaz, Denny",RICH,29,P,ML,4.3600000000000003,16,8,12,8,117,0,0,0,152.66999999999999,102,44,158,31,1,20,3,7,0,4,0,77,74,0.25600000000000001,0.30599999999999999,0.40699999999999997
Last3,"Diaz, Luka",IDA,32,P,ML,4.8899999999999997,19,27,0,0,64,64,4,2,345.67,185,144,384,51,1,35,3,8,1,22,0,200,188,0.27,0.33700000000000002,0.38100000000000001
Last3,"Dib, Muad",WISC,32,P,ML,4.2,29,14,0,0,65,65,8,2,396.33,286,122,430,69,7,46,4,7,1,22,0,198,185,0.26600000000000001,0.317,0.40200000000000002
Last3,"Donadio, Vincent",PORT,26,P,ML,3.84,9,8,4,1,44,17,1,1,122,59,46,124,25,0,11,4,4,2,10,0,55,52,0.253,0.317,0.371
Last3,"Donovan, Wedge",LV,24,P,ML,7.22,10,10,5,1,43,24,0,0,128.33000000000001,70,57,201,17,3,12,2,2,1,14,0,110,103,0.34300000000000003,0.40100000000000002,0.44400000000000001
Last3,"Duke, Jesse",MAIN,28,P,ML,4.88,12,16,10,9,122,0,0,0,219.67,93,87,255,34,5,21,5,1,1,6,0,124,119,0.27900000000000003,0.34200000000000003,0.39600000000000002
Last3,"Dunn, Jaime",ALTO,28,P,ML,7.23,0,0,0,0,17,0,0,0,18.670000000000002,9,11,35,6,0,4,0,0,0,0,0,22,15,0.38500000000000001,0.45100000000000001,0.58199999999999996
Last3,"Dunnigan, Howard",ELP,27,P,ML,4.8600000000000003,10,17,6,0,82,47,2,1,305.33,123,148,338,50,4,35,13,11,2,18,0,173,165,0.27,0.34699999999999998,0.4
Last3,"Dupree, Demonte",AUCK,28,P,ML,5.25,23,26,0,0,64,64,4,3,358,177,144,409,97,12,57,7,9,1,6,0,219,209,0.27600000000000002,0.34,0.47299999999999998
Last3,"Dyson, Stanley",PEOR,28,P,ML,4.33,9,8,0,0,25,24,0,0,129,75,43,131,35,3,14,1,2,0,10,0,64,62,0.253,0.31,0.41299999999999998
Last3,"Edgar, Chris",LV,34,P,ML,4.49,9,14,17,12,126,0,0,0,186.33,102,73,194,37,1,26,4,5,0,6,0,100,93,0.25800000000000001,0.32300000000000001,0.41299999999999998
Last3,"Elam, Keith",SUGR,25,P,ML,6.18,8,5,4,7,59,0,0,0,102,70,42,157,20,1,5,7,1,0,8,0,73,70,0.33900000000000002,0.39400000000000002,0.41899999999999998
Last3,"Engebretsen, Chester",IDA,33,P,ML,5.16,15,14,8,2,85,32,1,0,242.33,129,94,336,35,2,15,3,3,2,16,0,150,139,0.316,0.372,0.39500000000000002
Last3,"English, Randolph",IDA,33,P,ML,6.26,10,16,1,2,49,30,2,1,184,63,80,232,44,5,19,6,3,1,4,0,139,128,0.29599999999999999,0.36099999999999999,0.438
Last3,"Falco, Shane",ERIE,30,P,ML,5.05,25,18,0,0,74,74,5,3,427.33,307,136,459,90,10,66,5,3,0,24,0,251,240,0.26400000000000001,0.317,0.441
Last3,"Falkmore, Artemis (30)",PEOR,31,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
Last3,"Farkus, Scut",CASP,27,P,ML,4.6900000000000004,24,29,1,0,71,65,3,2,411,245,105,470,84,3,60,22,11,1,22,0,225,214,0.27600000000000002,0.318,0.435
