Period,Name,Team,Age,Pos,Level,ERA,W,L,SV,BS,G,GS,CG,SHO,IP,K,BB,H,2B,3B,HR,SB,CS,BK,WP,PO,R,ER,AVG,OBP,SLG
Career,"Cleary, Rogelio",TEX,35,P,ML,4.6399999999999997,49,42,40,32,502,0,0,0,896.67,433,372,1038,187,17,85,60,32,4,58,0,508,462,0.27800000000000002,0.34399999999999997,0.40600000000000003
Career,"Cobb, Jacob",TEX,37,P,ML,4.51,72,57,69,42,644,0,0,0,1119.33,518,526,1131,224,22,141,42,15,8,80,0,606,561,0.252,0.33,0.40600000000000003
Career,"Collins, Chaz",LAKE,31,P,ML,5.5,33,30,38,24,349,31,0,0,569.33000000000004,300,199,655,154,15,100,15,12,4,36,0,375,348,0.27700000000000002,0.33300000000000002,0.48199999999999998
Career,"Contra, Nester",MAIN,33,P,ML,4.74,86,57,2,1,247,193,7,5,1244.33,744,284,1362,293,32,189,35,25,2,60,0,680,656,0.26700000000000002,0.30599999999999999,0.44900000000000001
Career,"Coontz, Rich",BANG,31,P,ML,4.62,14,15,22,10,262,0,0,0,366,187,153,401,71,6,41,4,9,3,28,0,205,188,0.26800000000000002,0.33500000000000002,0.40500000000000003
Career,"Cooper, Manny",PEOR,29,P,ML,5.0599999999999996,4,11,2,4,81,19,0,0,176,77,79,197,37,2,15,3,5,0,12,0,113,99,0.27200000000000002,0.34300000000000003,0.39
Career,"Corbett, Barry",SUGR,25,P,ML,5.68,5,3,15,6,61,0,0,0,88.67,64,39,111,24,1,13,6,3,0,8,0,60,56,0.29399999999999998,0.36099999999999999,0.46700000000000003
Career,"Corbin, John",LAKE,29,P,ML,5.5,6,7,11,4,119,4,0,0,163.66999999999999,145,84,173,38,3,26,2,5,1,10,0,110,100,0.26100000000000001,0.34399999999999997,0.44400000000000001
Career,"Corns, Cedric",CHES,35,P,ML,4.87,115,113,83,14,416,284,29,13,1871.33,1241,580,2230,359,33,229,103,45,11,100,0,1084,1012,0.28399999999999997,0.33400000000000002,0.42599999999999999
Career,"Costanza, Seven",IDA,29,P,ML,5.49,25,34,24,13,192,63,4,2,507,360,238,533,120,5,70,22,6,7,26,0,321,309,0.25900000000000001,0.33600000000000002,0.42499999999999999
Career,"Coulbourne, Mervin",OMA,26,P,ML,6.52,0,0,1,0,8,0,0,0,9.67,8,3,10,4,0,2,0,0,0,0,0,7,7,0.25600000000000001,0.31,0.51300000000000001
Career,"Cradle, Alfonso",MAHO,34,P,ML,4.63,79,63,21,6,323,182,14,9,1322.33,469,488,1458,275,22,157,36,27,6,72,0,724,681,0.26900000000000002,0.32900000000000001,0.41399999999999998
Career,"Craigen, Oscar",DAY,28,P,ML,4.49,10,15,113,27,207,6,0,0,240.33,127,111,244,59,9,34,7,5,0,14,0,126,120,0.253,0.33,0.438
Career,"Crain, John",ROME,31,P,ML,5.44,24,28,19,13,311,0,0,0,492.67,301,179,597,121,7,65,19,12,3,38,0,304,298,0.28799999999999998,0.34399999999999997,0.44700000000000001
Career,"Crandall, RyLee",OMA,32,P,ML,4.26,66,70,0,0,220,212,11,6,1281,699,410,1380,196,17,134,45,29,7,66,0,650,607,0.26400000000000001,0.318,0.38500000000000001
Career,"Crews, Sam",PORT,33,P,ML,4.3499999999999996,16,12,14,8,172,9,0,0,266.67,133,85,310,40,5,23,13,9,2,12,0,142,129,0.27900000000000003,0.33100000000000002,0.38600000000000001
Career,"Cruise, Terry",LAKE,30,P,ML,5.0599999999999996,41,50,6,5,205,108,9,3,786,406,315,941,163,19,80,17,25,3,64,0,461,442,0.28499999999999998,0.34799999999999998,0.41899999999999998
Career,"Crumrine, Jim",MIDL,34,P,ML,5.19,56,53,15,9,292,110,8,2,899.33,562,355,991,193,13,132,45,28,2,54,0,550,519,0.26900000000000002,0.33300000000000002,0.435
Career,"Cuffie, Tim",DAY,33,P,ML,4.8,27,23,59,19,356,0,0,0,558.66999999999996,502,245,573,100,13,80,23,14,5,48,0,320,298,0.255,0.32800000000000001,0.41799999999999998
Career,"Cumbo, Mike",ROCK,27,P,ML,4.18,13,8,0,0,33,33,0,0,185.33,84,66,205,21,1,22,11,6,3,8,0,90,86,0.26900000000000002,0.32800000000000001,0.38600000000000001
Career,"Curry, Bob",ROME,25,P,ML,5.56,3,3,3,0,41,0,0,0,56.67,31,13,73,12,2,11,3,1,1,2,0,39,35,0.3,0.33600000000000002,0.502
Career,"Dain, Kendall",BANG,29,P,ML,4.38,9,10,3,8,130,0,0,0,181,82,79,224,20,2,18,10,10,1,16,0,98,88,0.29199999999999998,0.35799999999999998,0.39400000000000002
Career,"Dalleva, Teodoro",PEOR,28,P,ML,5.32,17,17,12,3,101,33,0,0,307.67,221,151,314,76,4,53,9,7,0,12,0,199,182,0.254,0.33500000000000002,0.45
Career,"Daniels, Edgar",LAKE,30,P,ML,5.5,43,40,5,0,144,118,5,2,662.67,405,257,763,147,12,101,10,6,0,20,0,429,405,0.27700000000000002,0.33900000000000002,0.45
Career,"Dawdy, Bill",IDA,27,P,ML,5.3,7,6,1,0,34,14,0,0,103.67,37,33,127,23,2,12,9,5,1,2,0,62,61,0.28999999999999998,0.34,0.434
Career,"Decant, Alfred",ALTO,33,P,ML,6.28,7,7,2,2,61,12,2,0,130.33000000000001,44,55,161,31,3,28,13,4,1,14,0,97,91,0.29199999999999998,0.35599999999999998,0.51100000000000001
Career,"Degler, Raul",BANG,29,P,ML,4.8099999999999996,36,38,3,1,133,92,7,4,578.66999999999996,333,152,700,94,10,68,14,12,4,26,0,325,309,0.28699999999999998,0.32900000000000001,0.41799999999999998
Career,"Denson, Jose",AUCK,25,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
Career,"Diaz, Denny",RICH,29,P,ML,4.68,23,18,24,10,218,0,0,0,284.67,184,93,313,58,1,38,9,10,1,12,0,155,148,0.26800000000000002,0.32200000000000001,0.41699999999999998
Career,"Diaz, Luka",IDA,32,P,ML,4.7300000000000004,54,61,3,2,198,183,6,3,976.67,508,356,1132,131,10,80,20,22,3,52,0,552,513,0.27900000000000003,0.33700000000000002,0.375
Career,"Dib, Muad",WISC,32,P,ML,4.18,116,91,0,1,292,285,32,10,1839.67,1250,523,1903,342,33,226,36,33,7,78,0,900,854,0.25600000000000001,0.30499999999999999,0.40300000000000002
Career,"Donadio, Vincent",PORT,26,P,ML,3.84,9,8,4,1,44,17,1,1,122,59,46,124,25,0,11,4,4,2,10,0,55,52,0.253,0.317,0.371
Career,"Donovan, Wedge",LV,24,P,ML,7.22,10,10,5,1,43,24,0,0,128.33000000000001,70,57,201,17,3,12,2,2,1,14,0,110,103,0.34300000000000003,0.40100000000000002,0.44400000000000001
Career,"Duke, Jesse",MAIN,28,P,ML,4.55,16,18,10,9,170,0,0,0,314.67,120,109,366,47,7,33,6,4,1,12,0,169,159,0.27900000000000003,0.33500000000000002,0.40200000000000002
Career,"Dunn, Jaime",ALTO,28,P,ML,7.23,0,0,0,0,17,0,0,0,18.670000000000002,9,11,35,6,0,4,0,0,0,0,0,22,15,0.38500000000000001,0.45100000000000001,0.58199999999999996
Career,"Dunnigan, Howard",ELP,27,P,ML,4.8600000000000003,10,17,6,0,82,47,2,1,305.33,123,148,338,50,4,35,13,11,2,18,0,173,165,0.27,0.34699999999999998,0.4
Career,"Dupree, Demonte",AUCK,28,P,ML,5.65,26,34,1,0,83,82,4,3,441.33,212,185,520,116,17,73,13,16,1,8,0,290,277,0.28199999999999997,0.34699999999999998,0.48199999999999998
Career,"Dyson, Stanley",PEOR,28,P,ML,4.42,9,9,0,0,27,24,0,0,130.33000000000001,75,47,134,35,3,14,2,3,0,10,0,66,64,0.255,0.316,0.41299999999999998
Career,"Edgar, Chris",LV,34,P,ML,5.19,39,48,50,35,468,2,0,0,734.67,441,319,829,132,10,96,33,29,3,44,0,456,424,0.27300000000000002,0.34200000000000003,0.41799999999999998
Career,"Elam, Keith",SUGR,25,P,ML,6.18,8,5,4,7,59,0,0,0,102,70,42,157,20,1,5,7,1,0,8,0,73,70,0.33900000000000002,0.39400000000000002,0.41899999999999998
Career,"Engebretsen, Chester",IDA,33,P,ML,4.96,60,65,11,8,284,152,4,1,1052,639,398,1331,114,4,88,10,10,3,54,0,617,580,0.29699999999999999,0.35399999999999998,0.38300000000000001
Career,"English, Randolph",IDA,33,P,ML,4.97,39,39,17,11,229,62,4,2,612.66999999999996,214,241,685,109,16,74,24,13,3,28,0,378,338,0.27200000000000002,0.33500000000000002,0.41499999999999998
Career,"Falco, Shane",ERIE,30,P,ML,4.82,79,55,1,1,222,209,11,4,1218.67,825,408,1322,245,25,174,22,18,2,74,0,694,652,0.26600000000000001,0.32100000000000001,0.43
Career,"Falkmore, Artemis (30)",PEOR,31,P,DL,99.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999,0.999,0.999
Career,"Farkus, Scut",CASP,27,P,ML,4.76,35,45,1,0,112,105,4,2,627.33000000000004,376,152,700,128,5,90,28,19,4,38,0,352,332,0.27100000000000002,0.312,0.42899999999999999
Career,"Farrell, Paul",MAHO,26,P,ML,5.56,4,7,0,1,27,16,0,0,102,41,35,112,11,0,15,7,1,0,4,0,66,63,0.26800000000000002,0.32500000000000001,0.40200000000000002
Career,"Fasy, Jayson",CHES,26,P,ML,14.4,0,0,0,0,4,0,0,0,5,0,7,13,2,0,0,0,0,1,0,0,8,8,0.46400000000000002,0.57099999999999995,0.53600000000000003
Career,"Faulkner, Bob",EDMO,27,P,ML,4.41,27,20,1,0,73,69,3,1,410.33,239,154,402,93,5,52,5,1,1,16,0,207,201,0.246,0.311,0.40500000000000003
