Name,Team,Age,Pos,Level,ERA,W,L,SV,BS,G,GS,CG,SHO,IP,K,BB,H,2B,3B,HR,SB,CS,BK,WP,PO,R,ER,AVG,OBP,SLG
"Leider, Benito",FRIS,34,P,ML,6.14,2,2,2,0,33,0,0,0,29.33,15,10,35,7,1,5,1,0,0,0,0,20,20,0.28499999999999998,0.33800000000000002,0.48
"Lemon, Floyd",LV,37,P,ML,3.81,4,4,1,1,38,0,0,0,85,71,33,89,30,6,5,2,1,0,4,0,41,36,0.25900000000000001,0.32400000000000001,0.42399999999999999
"Lewis, Murray",RICH,36,P,ML,3.35,22,6,0,0,32,32,3,2,220,211,78,201,28,2,19,9,5,2,10,0,86,82,0.23300000000000001,0.29699999999999999,0.33700000000000002
"Leyua, Christopher",EDMO,27,P,ML,3.79,8,11,0,0,33,33,2,1,187.67,116,61,176,32,2,20,1,2,2,16,0,85,79,0.23799999999999999,0.29599999999999999,0.36799999999999999
"Little, Omar",LOUI,36,P,ML,6.32,1,3,1,1,22,0,0,0,31.33,22,11,42,5,0,7,1,0,0,4,0,24,22,0.309,0.36099999999999999,0.5
"Lou, Captain",PORT,28,P,ML,3.91,10,14,0,0,34,34,2,1,205,69,41,215,56,4,21,4,2,0,10,0,102,89,0.25900000000000001,0.29399999999999998,0.41199999999999998
"Lowery, Scott",OMA,28,P,ML,5.83,7,2,7,3,58,0,0,0,100.33,61,36,121,25,3,20,6,3,0,6,0,67,65,0.28699999999999998,0.34300000000000003,0.502
"Lucas, Charlie",AUCK,30,P,ML,5.52,12,10,0,0,33,33,3,2,190.67,145,53,244,49,9,23,0,0,0,14,0,121,117,0.29899999999999999,0.34200000000000003,0.46600000000000003
"Maasch, Butch",MAIN,37,P,ML,3.44,17,9,0,0,31,31,2,2,186,145,52,172,35,2,18,7,5,3,10,0,84,71,0.23599999999999999,0.28599999999999998,0.36299999999999999
"Maker, Henry",PEOR,33,P,ML,3.2,11,7,3,4,49,6,0,0,160.33000000000001,126,49,130,24,2,21,4,2,1,2,0,59,57,0.21299999999999999,0.27100000000000002,0.36199999999999999
